,Econper,Diversity_Standard.Deviation.of.Population.Groups,Growth,Adjusted_Median_Household_Income,Fortune_500_Companies_per_capita,Housing,COL,Startups,Unemployment,Venture Capital Rank,Travel_Connectivity,Traffic,Safety,Healthcare,Education,Enviromental_Quality,Internet_Access,Leisure_Culture,Outdoors
Atlanta,9,10,12,16,11,20,20,7,2,9,3,28,16,31,8,28,20,5,20
Austin,1,13,1,5,26,23,17,6,8,11,29,29,12,19,14,17,6,11,30
Boston,27,25,23,9,9,33,31,4,21,1,18,18,11,2,1,4,2,38,10
Charlotte,11,18,9,21,23,17,24,24,11,31,11,12,24,11,30,6,11,49,34
Chicago,32,11,31,15,4,27,27,5,32,6,2,26,3,23,5,20,27,5,12
Cincinnati,18,34,27,11,5,5,5,25,12,32,26,9,5,15,24,15,29,21,31
Cleveland,34,31,33,30,12,1,13,33,24,26,25,5,27,1,20,13,33,44,22
Columbus,20,30,17,12,14,8,10,27,15,19,34,8,10,12,17,5,18,39,23
Dallas,8,5,6,17,8,18,6,12,15,20,4,15,18,27,23,21,10,26,24
Denver,6,21,10,8,29,26,22,14,25,12,7,17,1,22,30,14,30,14,1
Detroit,35,22,30,28,20,10,7,31,5,16,13,7,32,34,11,35,22,67,13
Houston,29,2,5,23,7,19,4,13,28,22,6,20,6,14,18,30,18,19,14
Indianapolis,17,28,20,20,22,9,16,28,5,23,32,3,35,24,30,27,23,36,29
Kansas City,24,27,22,10,27,4,8,35,8,29,28,1,20,9,30,8,13,53,26
Las Vegas,22,3,15,32,34,2,9,15,34,34,16,21,15,35,30,29,26,11,15
Los Angeles,23,7,29,31,30,31,28,1,35,1,9,35,31,30,1,33,21,10,4
Miami,25,6,21,35,31,28,29,11,26,18,8,33,25,29,22,24,14,4,16
Milwaukee,33,23,32,24,6,13,14,34,19,35,35,4,34,28,28,7,32,41,18
Minneapolis-Saint Paul,26,32,18,2,2,21,23,19,3,14,15,2,7,3,15,3,35,27,17
Nashville,5,24,4,18,10,22,11,26,3,28,27,19,33,33,19,16,15,29,35
New York,28,4,25,29,1,33,35,1,33,1,1,34,2,26,4,31,3,3,9
Orlando,12,12,2,33,33,15,18,18,21,33,10,25,26,32,30,22,8,2,25
Philadelphia,21,17,28,19,19,24,30,16,31,15,14,24,23,8,9,32,5,20,27
Phoenix,4,15,11,26,17,6,2,20,17,21,17,13,28,25,21,34,25,48,5
Pittsburgh,30,35,34,25,18,14,26,21,29,27,31,16,9,13,7,19,16,28,28
Portland,14,26,16,13,32,25,25,17,12,13,24,22,13,16,27,2,31,8,8
Raleigh,3,14,3,3,24,12,12,29,5,17,30,10,22,4,6,1,9,35,33
Salt Lake City,2,33,8,7,34,11,3,23,1,10,21,14,21,21,24,25,33,22,6
San Antonio,15,16,7,27,28,7,1,32,17,30,32,11,4,18,29,26,12,23,32
San Diego,16,8,24,22,25,29,21,10,30,5,22,23,17,7,13,12,7,9,7
San Francisco Bay Area,10,1,26,4,3,33,34,1,26,1,12,32,30,10,1,23,17,7,3
Seattle,7,20,14,6,16,30,32,9,21,8,20,31,19,17,12,9,23,17,2
St. Louis,31,29,35,14,15,3,15,30,10,24,23,6,29,5,16,11,28,18,21
Tampa Bay Area,13,19,13,34,21,16,19,22,14,25,19,30,14,6,24,10,4,16,11
Washington,19,9,19,1,13,32,33,8,19,7,5,27,8,20,10,18,1,15,19